EUR/USD,20090501 00:02:18.573,1.32452,1.32461
EUR/USD,20090501 00:02:18.759,1.32452,1.32461
EUR/USD,20090501 00:02:18.760,1.32452,1.32459
EUR/USD,20090501 00:02:18.777,1.3245,1.32459
EUR/USD,20090501 00:02:18.869,1.3245,1.32458
EUR/USD,20090501 00:02:19.260,1.32452,1.32457
EUR/USD,20090501 00:02:19.511,1.32451,1.32461
EUR/USD,20090501 00:02:19.512,1.32451,1.32463
EUR/USD,20090501 00:02:19.525,1.32451,1.32459
EUR/USD,20090501 00:02:19.529,1.3245,1.32459
EUR/USD,20090501 00:02:19.564,1.3245,1.32458
EUR/USD,20090501 00:02:19.648,1.3245,1.32459
EUR/USD,20090501 00:02:19.811,1.3245,1.32458
EUR/USD,20090501 00:02:20.016,1.32452,1.32457
EUR/USD,20090501 00:02:20.259,1.32452,1.32458
EUR/USD,20090501 00:02:20.278,1.32452,1.32459
EUR/USD,20090501 00:02:20.285,1.3245,1.32459
EUR/USD,20090501 00:02:20.348,1.3245,1.32458
EUR/USD,20090501 00:02:20.760,1.32451,1.32458
EUR/USD,20090501 00:02:20.831,1.32451,1.32459
EUR/USD,20090501 00:02:20.847,1.32452,1.32459
EUR/USD,20090501 00:02:20.875,1.32451,1.32459
EUR/USD,20090501 00:02:21.015,1.32451,1.32461
EUR/USD,20090501 00:02:21.019,1.32451,1.32463
EUR/USD,20090501 00:02:21.032,1.32451,1.32459
EUR/USD,20090501 00:02:21.039,1.3245,1.32459
EUR/USD,20090501 00:02:21.124,1.3245,1.32458
EUR/USD,20090501 00:02:21.176,1.3245,1.32459
EUR/USD,20090501 00:02:21.291,1.3245,1.32458
EUR/USD,20090501 00:02:22.271,1.32448,1.32458
EUR/USD,20090501 00:02:22.287,1.32446,1.32458
EUR/USD,20090501 00:02:22.420,1.32446,1.32457
EUR/USD,20090501 00:02:22.514,1.32444,1.32456
EUR/USD,20090501 00:02:22.520,1.32442,1.32457
EUR/USD,20090501 00:02:22.778,1.32444,1.32457
EUR/USD,20090501 00:02:22.840,1.32444,1.32458
EUR/USD,20090501 00:02:22.882,1.32443,1.32458
EUR/USD,20090501 00:02:23.033,1.32442,1.32458
EUR/USD,20090501 00:02:23.331,1.32442,1.32456
EUR/USD,20090501 00:02:24.138,1.32442,1.32455
EUR/USD,20090501 00:02:24.201,1.32442,1.32456
EUR/USD,20090501 00:02:24.377,1.32444,1.32458
EUR/USD,20090501 00:02:24.888,1.32444,1.32458
EUR/USD,20090501 00:02:31.258,1.32447,1.32453
EUR/USD,20090501 00:02:31.262,1.32446,1.32454
EUR/USD,20090501 00:02:31.273,1.32448,1.32454
EUR/USD,20090501 00:02:31.275,1.3245,1.32454
